item_id,attack_id,release_a,release_b,bin,jaccard,seqmatch,char3_jaccard,sentence_jaccard,tfidf_cosine,version_a,version_b,major_bump,any_bump,tactic_changed,platform_changed,name_changed,codebook_example
A001,T1063,5.0,6.0,0.60-0.80,0.7692307692307693,0.8335046248715313,0.7876254180602007,0.6666666666666666,0.8961691659957215,2.0,2.1,False,True,False,False,False,False
A002,T1150,2.0,3.0,0.60-0.80,0.6095890410958904,0.6747181964573269,0.6823687752355316,0.38461538461538464,0.7815980652960159,1.0,1.0,False,False,False,False,False,False
A003,T1498.001,10.0,11.0,J>=0.95,0.9541984732824428,0.9619352543578797,0.9436619718309859,0.75,0.9878024683208847,1.2,1.3,False,True,False,False,False,False
A004,T1067,2.0,3.0,0.60-0.80,0.7394957983193278,0.8418747262374069,0.7010463378176383,0.38461538461538464,0.9181198889719554,1.0,1.0,False,False,False,False,False,False
A005,T1612,9.0,10.0,0.80-0.95,0.9247311827956989,0.9697265625,0.922077922077922,0.5,0.9882870439497519,1.0,1.1,False,True,False,False,False,False
A006,T1016,2.0,3.0,J<0.40,0.3565217391304348,0.36177884615384615,0.34789156626506024,0.2,0.4263716087280605,1.0,1.0,False,False,False,False,False,False
A007,T1069,2.0,3.0,J<0.40,0.39655172413793105,0.5493951612903226,0.3988919667590028,0.14285714285714285,0.8184743577530599,1.0,1.0,False,False,False,False,False,False
A008,T1562.008,12.0,13.0,0.60-0.80,0.7032967032967034,0.45149253731343286,0.7045009784735812,0.6,0.8141918083245323,1.2,1.3,False,True,False,True,False,False
A009,T1112,18.0,19.0,J>=0.95,0.9943820224719101,0.9830966869506423,0.9884332281808622,0.7142857142857143,0.997381623357928,2.0,3.0,True,True,True,False,False,False
A010,T1005,6.0,7.0,0.60-0.80,0.7424242424242424,0.6654898499558694,0.7512820512820513,0.16666666666666666,0.8271764219970511,1.1,1.2,False,True,False,True,False,False
A011,T1562.003,10.0,11.0,0.80-0.95,0.9125,0.9659863945578231,0.9110122358175751,0.8823529411764706,0.9936582274200642,2.0,2.1,False,True,False,True,False,False
A012,T1153,5.0,6.0,J>=0.95,0.9710144927536232,0.9817415730337079,0.9555555555555556,0.6666666666666666,0.9888094219178474,1.0,1.1,False,True,False,False,False,False
A013,T1119,6.0,7.0,0.80-0.95,0.875,0.9465763732129421,0.8729792147806005,0.3333333333333333,0.8961736515749876,1.0,1.0,False,False,False,False,False,False
A014,T1070,10.0,11.0,0.40-0.60,0.49166666666666664,0.4792682926829268,0.5194610778443114,0.2,0.6346879614205027,1.2,1.3,False,True,False,True,False,False
A015,T1109,2.0,3.0,0.60-0.80,0.7472527472527473,0.8170326014637392,0.7433460076045627,0.4,0.9005489390894131,1.0,1.0,False,False,False,False,False,False
A016,T1055.001,11.0,12.0,0.80-0.95,0.8055555555555556,0.8317836010143702,0.8294871794871795,0.625,0.905267745674985,1.1,1.2,False,True,False,False,False,False
A017,T1117,5.0,6.0,J>=0.95,0.9851851851851852,0.990234375,0.9778645833333334,0.8181818181818182,0.9945963015334842,1.1,1.2,False,True,False,False,False,False
A018,T1123,2.0,3.0,0.40-0.60,0.5094339622641509,0.5726600985221675,0.5264900662251656,0.42857142857142855,0.7560937216120682,1.0,1.0,False,False,False,False,False,False
A019,T1074,2.0,3.0,J<0.40,0.37735849056603776,0.4301352221506761,0.3982608695652174,0.1,0.6200630742737503,1.0,1.0,False,False,False,False,False,False
A020,T1666,18.0,19.0,J>=0.95,0.9640287769784173,0.9908256880733946,0.9813829787234043,0.8,0.992107901228043,1.0,2.0,True,True,True,False,False,False
